date,video,video_title,average_percentage_viewed
2019-08-15,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.7312
2019-08-16,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,34.1003
2019-08-17,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.7091
2019-08-18,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,38.0857
2019-08-19,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.416
2019-08-20,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.4008
2019-08-21,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.5661
2019-08-22,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.9189
2019-08-23,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.2874
2019-08-24,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.8511
2019-08-25,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.2813
2019-08-26,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,34.1782
2019-08-27,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,31.2455
2019-08-28,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,34.3047
2019-08-29,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.0376
2019-08-30,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,35.4274
2019-08-31,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,36.5473
2019-07-01,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.7514
2019-07-02,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.4344
2019-07-03,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.3806
2019-07-04,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.0241
2019-07-05,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.5927
2019-07-06,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.5469
2019-07-07,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.0798
2019-07-08,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.0192
2019-07-09,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.3298
2019-07-10,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,24.8525
2019-07-11,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,24.2722
2019-07-12,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,24.595
2019-07-13,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,25.4764
