date,video,video_title,views
2019-08-27,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1480
2019-08-28,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1486
2019-08-29,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1569
2019-08-30,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1885
2019-08-31,IHc5Zt7qT6o,"Will Self-Taught, A.I. Powered Robots Be the End of Us?",1659
2019-07-01,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-02,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-03,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-04,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-05,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-06,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-07,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-08,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-09,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-10,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-11,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-12,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-13,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-14,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-15,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-16,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-17,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-18,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-19,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-20,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-21,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-22,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2
2019-07-23,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,3
2019-07-24,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1
2019-07-25,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2
2019-07-26,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-27,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-28,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-29,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-30,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-07-31,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-08-01,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,0
2019-08-02,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,12415
2019-08-03,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,32304
2019-08-04,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,34257
2019-08-05,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,16969
2019-08-06,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,10402
2019-08-07,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,8498
2019-08-08,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,6924
2019-08-09,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,5323
2019-08-10,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,5432
2019-08-11,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,4827
2019-08-12,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,4197
2019-08-13,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,4116
2019-08-14,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,3747
2019-08-15,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,3393
2019-08-16,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2650
2019-08-17,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2260
2019-08-18,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2564
2019-08-19,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2919
2019-08-20,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2321
2019-08-21,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2099
2019-08-22,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1901
2019-08-23,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1657
2019-08-24,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1780
2019-08-25,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2273
2019-08-26,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2307
2019-08-27,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2865
2019-08-28,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2661
2019-08-29,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2177
2019-08-30,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,1893
2019-08-31,YSWd21z2qqE,Loose Ends: String Theory and the Quest for the Ultimate Theory,2069
2019-07-01,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1744
2019-07-02,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1507
2019-07-03,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1255
2019-07-04,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1248
2019-07-05,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1306
2019-07-06,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1388
2019-07-07,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1815
2019-07-08,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1813
2019-07-09,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1440
2019-07-10,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1373
2019-07-11,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1493
2019-07-12,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1161
2019-07-13,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,943
2019-07-14,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1374
2019-07-15,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1121
2019-07-16,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1198
2019-07-17,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1411
2019-07-18,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1570
2019-07-19,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1423
2019-07-20,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1776
2019-07-21,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1685
2019-07-22,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1567
